aX,aY,aZ,gX,gY,gZ
0.350,0.622,-0.684,-3.906,-0.977,-0.244
-0.305,1.582,0.674,-0.793,-30.884,-98.083
-0.323,1.498,0.621,1.343,-19.348,-114.990
-0.331,1.368,0.538,1.465,-8.850,-130.310
-0.348,1.316,0.474,1.526,-3.357,-139.832
-0.364,1.191,0.391,-0.854,0.488,-146.545
-0.325,1.067,0.434,-2.563,0.977,-149.902
-0.290,1.090,0.531,-1.282,0.488,-146.301
-0.243,1.046,0.525,1.099,6.653,-143.188
-0.187,0.986,0.541,5.554,13.062,-141.663
-0.123,1.029,0.522,10.254,19.836,-138.123
-0.075,1.058,0.462,13.000,27.283,-137.634
-0.062,0.940,0.327,13.672,33.997,-142.517
-0.041,0.799,0.245,12.878,37.109,-145.447
0.003,0.789,0.282,11.780,34.790,-142.761
0.001,0.705,0.141,8.728,36.316,-139.893
0.041,0.469,0.035,5.005,37.842,-138.489
0.085,0.415,0.151,5.493,28.625,-128.113
0.126,0.461,0.140,5.798,26.123,-113.098
0.154,0.359,0.076,5.005,27.771,-103.210
0.192,0.217,0.087,8.545,23.987,-92.224
0.234,0.182,0.028,12.268,22.278,-74.463
0.274,0.197,0.013,15.747,20.325,-55.176
0.294,0.243,0.014,17.273,17.212,-39.307
0.311,0.258,-0.013,17.090,15.808,-26.062
0.320,0.215,-0.059,17.761,14.038,-14.343
0.325,0.154,-0.077,18.738,10.498,-1.892
0.325,0.163,-0.052,18.616,5.676,13.062
0.337,0.308,-0.021,17.029,1.953,29.724
0.313,0.519,0.059,11.414,-1.587,41.077
0.309,0.775,0.112,4.944,-2.075,46.570
0.290,0.872,0.118,2.930,-0.366,43.335
0.271,0.851,0.083,5.493,1.099,36.682
0.262,0.801,0.084,9.033,1.099,32.654
0.243,0.794,0.135,10.742,-0.488,31.555
0.223,0.851,0.110,8.423,0.610,32.959
0.222,0.987,0.122,6.104,0.610,35.217
0.223,1.076,0.135,5.127,-0.061,33.630
0.220,1.129,0.134,4.517,0.427,28.809
0.210,1.131,0.154,4.211,0.122,23.621
0.205,1.141,0.156,3.906,-0.061,20.203
0.210,1.141,0.192,5.432,-0.610,17.334
0.207,1.147,0.209,6.470,-0.366,15.076
0.212,1.126,0.189,7.202,0.793,12.817
0.218,1.117,0.176,7.507,1.221,11.414
0.229,1.104,0.185,8.179,0.732,10.559
0.232,1.098,0.201,7.751,0.244,9.399
0.240,1.104,0.191,6.958,0.977,8.667
0.246,1.106,0.188,6.409,1.404,7.019
0.249,1.088,0.119,5.249,2.075,4.822
0.250,1.053,0.102,3.174,0.977,2.319
0.247,1.030,0.192,1.465,-2.747,0.244
0.248,1.040,0.215,0.183,-2.441,-0.732
0.250,1.001,0.209,2.014,-0.671,-1.648
0.243,0.991,0.153,2.502,0.854,-1.648
0.256,0.961,0.062,1.770,2.136,-1.160
0.265,0.952,0.063,0.977,-0.793,-1.099
0.250,0.921,0.151,-1.038,-4.028,-0.977
0.246,0.959,0.200,-1.343,-4.578,1.160
0.238,0.955,0.198,0.427,-2.563,2.075
0.235,0.942,0.172,2.563,-0.793,2.014
0.235,0.954,0.112,3.357,0.610,2.380
0.227,0.926,0.079,2.441,-0.183,1.587
0.220,0.913,0.165,1.160,-3.235,1.038
0.216,0.928,0.215,0.916,-3.967,2.075
0.215,0.933,0.189,2.136,-1.526,2.563
0.216,0.942,0.157,3.601,-0.122,2.625
0.219,0.938,0.145,3.296,-0.183,1.343
0.218,0.935,0.164,1.953,-0.916,-0.427
0.211,0.931,0.210,0.977,-1.526,-1.404
0.209,0.924,0.203,1.221,-0.183,-1.953
0.215,0.899,0.151,3.052,1.953,-2.136
0.219,0.882,0.172,5.432,1.282,-1.770
0.225,0.882,0.182,6.714,0.854,-0.916
0.231,0.916,0.176,8.240,1.709,-0.122
0.233,0.869,0.182,10.925,1.587,-0.916
0.242,0.911,0.161,8.728,1.770,-0.183
0.246,0.955,0.169,6.409,1.831,0.305
0.236,0.907,0.204,4.944,0.610,-2.136
0.229,0.895,0.208,3.174,0.854,-2.441
0.229,0.895,0.196,2.869,1.953,-1.221
0.230,0.885,0.199,2.258,2.197,-0.549
0.231,0.896,0.188,1.770,2.747,0.671
0.234,0.896,0.170,1.709,3.540,1.709
0.243,0.911,0.155,2.686,3.296,3.052
0.251,0.933,0.141,4.150,3.052,3.906
0.253,0.952,0.121,4.517,3.052,4.028
0.253,0.963,0.128,4.089,1.892,3.479
0.249,0.959,0.125,3.784,1.038,2.563
0.243,0.950,0.133,3.662,0.305,1.587
0.240,0.944,0.153,3.479,-0.671,1.160
0.236,0.940,0.163,3.174,-1.038,0.916
0.235,0.960,0.186,3.540,-1.038,0.671
0.232,0.920,0.208,5.798,-1.160,-0.549
0.230,0.916,0.191,6.348,-0.183,-0.793
0.239,0.918,0.210,8.179,-0.122,0.732
0.232,0.905,0.198,8.301,0.366,0.732
0.228,0.893,0.185,7.874,1.404,1.465
0.232,0.932,0.182,6.836,0.793,3.052
0.228,0.955,0.193,4.883,0.305,2.747
0.227,0.966,0.207,2.991,0.122,1.648
0.221,0.953,0.223,1.770,0.305,0.549
0.219,0.953,0.224,1.709,1.282,0.183
0.231,0.981,0.197,2.869,2.258,0.244
0.234,0.981,0.185,5.127,2.380,-1.038
0.228,0.961,0.182,6.348,1.709,-2.747
0.227,0.927,0.178,6.348,1.648,-3.723
0.230,0.922,0.186,5.737,1.160,-3.296
0.227,0.908,0.195,4.456,1.160,-3.052
0.228,0.943,0.209,3.540,1.221,-1.953
0.236,0.977,0.203,2.502,1.648,-1.221
0.236,0.966,0.205,1.953,1.892,-2.197
0.232,0.946,0.189,2.563,1.953,-3.174
0.234,0.938,0.175,3.235,2.075,-3.113
0.232,0.947,0.180,3.296,1.648,-2.686
0.232,0.948,0.197,4.089,0.977,-2.930
0.227,0.950,0.226,4.944,0.732,-3.357
0.222,0.946,0.213,5.554,1.892,-3.479
0.225,0.928,0.203,5.859,2.625,-3.540
0.227,0.918,0.215,5.920,2.441,-3.601
-0.468,-0.410,-1.604,25.452,-41.077,112.244
-0.441,-0.324,-1.427,21.912,-63.049,117.737
-0.369,-0.266,-1.179,17.456,-84.412,120.056
-0.337,-0.150,-1.030,15.076,-89.111,121.338
-0.319,-0.010,-1.117,17.456,-76.294,120.544
-0.307,0.038,-1.368,24.963,-64.331,111.877
-0.281,0.037,-1.618,32.104,-65.979,99.609
-0.270,-0.050,-1.793,37.170,-86.609,84.900
-0.306,-0.195,-1.861,37.659,-119.263,70.984
-0.344,-0.264,-1.771,32.410,-157.776,67.627
-0.343,-0.183,-1.492,24.475,-198.486,73.120
-0.324,-0.041,-1.082,15.869,-234.314,79.102
-0.253,0.049,-0.500,5.615,-247.070,80.261
-0.087,0.060,0.086,-1.770,-230.469,76.355
0.030,0.126,0.254,2.380,-179.504,73.120
0.092,0.229,-0.161,20.203,-104.736,70.251
0.134,0.250,-0.763,37.720,-51.880,61.523
0.203,0.216,-1.056,40.527,-46.021,50.415
0.223,0.104,-0.927,33.386,-71.289,31.555
0.215,-0.035,-0.622,26.001,-91.370,10.193
0.213,-0.094,-0.491,28.442,-85.144,3.906
0.242,-0.017,-0.481,34.607,-68.237,5.188
0.281,0.099,-0.502,38.513,-54.199,4.272
0.312,0.062,-0.483,36.621,-44.617,-4.517
0.329,-0.118,-0.422,30.884,-36.987,-16.235
0.333,-0.209,-0.439,26.245,-25.696,-18.555
0.321,-0.161,-0.584,25.635,-10.559,-12.634
0.332,-0.067,-0.706,25.269,-2.502,-8.423
0.347,-0.054,-0.670,19.836,-4.272,-11.047
0.351,-0.119,-0.562,12.329,-6.042,-16.113
0.338,-0.185,-0.529,8.301,-0.305,-18.494
0.329,-0.205,-0.663,9.644,12.817,-18.005
0.321,-0.199,-0.849,13.184,23.132,-17.334
0.315,-0.202,-0.943,13.123,22.034,-17.883
0.312,-0.223,-0.930,10.620,14.648,-18.677
0.302,-0.245,-0.879,7.385,9.033,-19.226
0.301,-0.234,-0.859,6.653,9.033,-18.005
0.314,-0.235,-0.855,7.568,11.292,-16.968
0.320,-0.282,-0.906,8.057,14.648,-18.494
0.307,-0.295,-0.982,7.690,17.517,-20.203
0.296,-0.268,-1.012,5.920,15.503,-18.616
0.293,-0.238,-0.997,4.456,11.658,-14.099
0.290,-0.231,-0.993,5.127,10.559,-13.184
0.294,-0.261,-1.013,6.531,11.719,-15.137
0.297,-0.306,-1.024,6.042,12.085,-17.334
0.278,-0.300,-1.017,4.028,10.803,-19.043
0.274,-0.276,-1.015,3.479,10.071,-12.817
0.272,-0.219,-1.023,4.517,10.559,-8.362
0.261,-0.269,-1.045,5.188,10.864,-11.292
0.244,-0.381,-1.073,3.967,10.803,-14.648
0.240,-0.414,-1.089,1.953,9.399,-10.803
0.242,-0.321,-1.091,1.465,6.775,-1.831
0.243,-0.177,-1.065,2.625,3.296,3.845
0.254,-0.143,-1.012,2.869,0.183,1.221
0.254,-0.245,-0.979,2.380,-0.427,-5.249
0.251,-0.299,-0.993,2.136,1.221,-6.409
0.249,-0.254,-1.031,4.395,2.747,-2.563
0.248,-0.165,-1.034,5.981,0.977,-0.122
0.254,-0.128,-0.979,5.920,-2.197,-1.648
0.267,-0.177,-0.902,5.432,-3.845,-5.859
0.274,-0.240,-0.865,4.395,-2.686,-8.362
0.266,-0.245,-0.877,3.540,1.099,-6.470
0.265,-0.185,-0.925,4.272,5.188,-2.991
0.264,-0.160,-0.957,4.578,6.531,-3.052
0.262,-0.195,-0.970,3.540,5.737,-5.981
0.265,-0.246,-0.973,2.686,4.456,-7.812
0.275,-0.266,-0.944,1.953,2.441,-6.775
0.278,-0.256,-0.913,1.953,1.099,-4.333
0.281,-0.224,-0.875,2.075,0.854,-2.563
0.301,-0.203,-0.845,1.770,2.441,-2.075
0.290,-0.228,-0.867,3.113,5.859,-3.357
0.285,-0.220,-0.914,3.418,8.301,-2.869
0.272,-0.214,-0.954,3.906,8.667,-2.441
0.258,-0.217,-0.967,3.296,6.897,-2.625
0.257,-0.217,-0.965,2.930,4.883,-2.563
0.257,-0.223,-0.953,2.808,3.357,-2.686
0.255,-0.230,-0.933,2.319,2.502,-2.808
0.258,-0.237,-0.922,1.465,2.808,-2.502
0.260,-0.231,-0.937,1.648,4.089,-1.892
0.255,-0.229,-0.966,2.075,5.005,-1.404
0.252,-0.234,-0.983,1.831,4.883,-1.404
0.254,-0.239,-0.983,1.709,3.540,-1.221
0.254,-0.254,-0.968,1.282,2.136,-1.282
0.249,-0.254,-0.956,0.671,1.648,-0.610
0.251,-0.246,-0.938,0.793,1.953,0.244
0.248,-0.228,-0.937,1.160,3.052,0.977
0.238,-0.225,-0.967,2.075,4.944,0.732
0.228,-0.225,-1.013,2.747,6.226,0.488
0.231,-0.216,-1.037,4.028,5.310,0.305
0.224,-0.219,-1.026,4.517,2.197,-0.427
0.223,-0.210,-0.986,3.967,-0.549,-0.244
0.225,-0.215,-0.965,3.723,-1.099,-0.366
0.220,-0.231,-0.992,3.540,0.671,-0.610
0.218,-0.213,-1.029,3.479,1.404,0.671
0.221,-0.173,-1.038,3.540,-0.244,1.709
0.232,-0.173,-1.008,3.174,-3.235,0.183
0.236,-0.220,-0.958,1.892,-5.371,-2.014
0.239,-0.228,-0.931,1.526,-4.822,-1.770
0.246,-0.195,-0.949,2.441,-2.625,0.000
0.254,-0.185,-0.977,3.357,-1.404,-0.183
0.262,-0.218,-0.971,3.113,-2.441,-1.465
0.260,-0.231,-0.926,1.953,-3.784,-1.465
0.263,-0.202,-0.893,1.404,-3.845,0.244
0.262,-0.186,-0.899,2.197,-1.587,0.549
0.257,-0.187,-0.934,2.686,1.160,-0.183
0.260,-0.179,-0.965,2.991,2.075,-0.671
0.260,-0.174,-0.970,2.869,1.404,-1.160
0.260,-0.177,-0.950,2.502,-0.122,-1.831
0.257,-0.187,-0.925,2.014,-0.793,-2.258
0.252,-0.193,-0.936,2.869,0.549,-2.686
0.249,-0.208,-0.972,3.967,2.136,-3.052
0.247,-0.251,-0.990,4.211,1.892,-3.723
0.241,-0.274,-0.979,2.563,0.305,-2.991
0.233,-0.240,-0.969,1.709,-0.732,-0.488
0.236,-0.188,-0.976,2.625,-0.549,1.404
0.241,-0.176,-0.982,3.235,-0.549,0.610
0.243,-0.197,-0.960,2.258,-2.014,-1.160
0.247,-0.183,-0.926,1.709,-2.808,-0.916
0.256,-0.160,-0.904,2.258,-2.258,-0.549
-0.777,0.867,-1.202,52.429,-40.039,139.099
-0.700,0.928,-1.189,55.786,-40.466,122.375
